Article No.,URL,Summary
0,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG8Z24T0G1KW01?srnd=cojp-v2,最新の情報は、ブルームバーグ端末にて提供中
1,https://www.bloomberg.co.jp/news/articles/2022-08-07/RFYYVWDWX2PS01?srnd=cojp-v2,日経平均株価の週足チャートで、強気相場への転換を示す「ゴールデンクロス（ＧＣ）」が約２年10カ月ぶりに現れた。米金融引き締め政策や感染症、ウクライナや台湾を巡る地政学リスクで先行きが曇る相場環境の中でも、３万円に迫るとの試算が浮かぶ。「週足でのゴールデンクロスは大局的な相場転換を示唆する」。いちよし証券投資情報部の高橋幸洋課長は、昨年９月高値以降の三角保ち合いを上放れる可能性があると予想する。過去３カ月の値動きを示す13週の移動平均線（２万7009円）は８月１週、半年ほどの値動きを示す26週線（２万6970円）を上回った。短期線が長期線を下から上に突き抜ける買いシグナルのＧＣが成立した。13週
2,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG9II0T0AFB401?srnd=cojp-v2,中国民用航空局は７日、新型コロナウイルス感染者が搭乗していた国内到着フライトの運航停止期間を短縮すると発表した。国際旅行者を対象としたコロナ関連規制を緩和する用意があることを示す新たな兆しだ。発表資料によると、５人ないし全搭乗者の４％がコロナ陽性となった場合の運航停止期間は１週間に短縮。８％が陽性の場合は２週間の運航停止となる。同局は同日実施の変更について、防疫を「科学的かつ的確に」行いながら、中国と外国の人々の交流を促進することが目的だと説明した。中国は６月、海外からの入国者に義務付ける隔離期間を従来の半分に短縮した。中国、入国者の隔離期間を10日間に短縮−本土株上昇原題：China Eas
3,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG7XMLT0G1KW01?srnd=cojp-v2,米連邦準備制度の金融政策について、債券トレーダーの長期的な見通しは当局の見解と異なるようだ。これは債券市場の混乱が続くことを示唆する。短期の米国債利回りはここ数週間、当局が最終的にどこまで利上げをするか、景気が落ち込めば利下げに転じるのかについてのトレーダーの見方によって急低下したり急上昇したりしてきた。最後には短期の利回りが上昇し、市場が織り込む今年の利上げ幅は当局の考えとほぼ一致した。しかし2023年については当局と市場の見方は依然異なっている。向こう１週間のインフレ統計や入札で、市場と当局のどちらかが再考を迫られるかもしれない。チャールズ・シュワブのチーフ債券ストラテジスト、キャシー・ジ
4,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG9F72T1UM0W01?srnd=cojp-v2,米上院は７日、税制・エネルギー・気候対策法案を賛成51、反対50の賛成多数で可決した。バイデン大統領の優先施策を盛り込んだ同法案は民主党内の対立で上院で長く滞っていたが、規模を縮小した案の議会通過に道筋がついた。採決は賛成、反対同数の後、ハリス副大統領が上院議長として決定票を投じた。法案は下院に送付される。民主党が多数派のため法案は12日に下院を通過する見通し。シューマー民主党上院院内総務は採決前に法案について、「21世紀の決定的な偉業の一つになると確信している」と述べた。シューマー米民主党上院院内総務（８月７日） Photographer: Ting Shen/Bloomberg民主党は法案
5,https://www.bloomberg.co.jp/news/articles/2022-08-05/RG5D2YDWRGG301?srnd=cojp-v2,７月の米雇用統計が極めて好調な内容となったことで、金融当局としては需要とインフレを抑制するため数十年ぶりとなる積極利上げを継続する必要がありそうだ。米労働省の発表によれば、７月の非農業部門雇用者数は前月比52万8000人増。伸びは市場予想を全て上回った。失業率は3.5％に低下し、約50年ぶり低水準。賃金の伸びは加速した。７月米雇用者数、予想大幅に上回る伸び−リセッション懸念和らぐ (2)今回の統計は、米連邦公開市場委員会（ＦＯＭＣ）が９月会合で３会合連続となる75ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）利上げに動く勢いを与えそうだ。ＫＰＭＧのチーフエコノミスト、ダイアン・スウォンク氏は、労
6,https://www.bloomberg.co.jp/news/articles/2022-08-05/RG5L5CDWX2PS01?srnd=cojp-v2,５日の米株式市場ではＳ＆Ｐ500株価指数が下落したものの、終盤に下げを縮める展開。週間ベースでは上昇した。朝方発表された７月の米雇用統計は予想に反して非常に好調な内容となり、リセッション（景気後退）懸念が和らいだ一方、連邦公開市場委員会（ＦＯＭＣ）が次回９月の会合で大幅利上げに動く道が開かれた。ドル・円相場は円安が進み、１ドル＝135円ちょうど近辺。７月米雇用者数、予想大幅に上回る伸び−リセッション懸念和らぐ (2)Ｓ＆Ｐ500種は小幅に下落−週間ベースでは上昇米国債は下落−10年債利回り2.82％近辺ドルは急伸、雇用統計に反応−135円ちょうど付近ＮＹ原油先物、週間で４月以来の大幅安−需要減
7,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG7USGT0G1KW01?srnd=cojp-v2,米連邦準備制度理事会（ＦＲＢ）のボウマン理事は、インフレ率が明白に低下するまでは先月決めた0.75ポイント利上げと同様の大幅な利上げを検討し続けるべきだとの考えを示した。ボウマン理事は５日、カンザス銀行協会が主催するイベントに向けて準備された講演で「インフレ率が一貫して明白に低下するのが見られるまで、同様の規模の利上げを検討する必要がある」と述べた。先月の0.75ポイント利上げを支持したと付け加えた。ボウマン理事 Source: Bloomberg米連邦準備制度は６月と７月に0.75ポイント利上げを実施。５日発表の雇用統計によると、７月の雇用者数は52万8000人増と市場予想の２倍を超える伸び
8,https://www.bloomberg.co.jp/news/articles/2022-08-05/RG5JN9DWRGG001?srnd=cojp-v2,株式市場ではテクノロジー銘柄への買い意欲が再び強まっているが、孫正義社長が率いる ソフトバンクグループは苦戦を強いられている。同社の株価は昨年の高値からほぼ半値水準に落ち込んだ。投資先の上場企業の株安が響いた格好だ。こうした上場企業の株価は最近持ち直している一方、評価額が相対的に不透明な非公開企業への出資分が、ここへきてソフトバンクＧの投資リターン全体の足を引っ張るとみられる。多数に上る投資先の非公開企業について、その評価額を引き下げることは、ソフトバンクＧには特に痛みを伴う作業となる。同社はそうした企業を上場させ、その株式を担保に借り入れた資金で他のスタートアップを支援する手法を長く用いてき
9,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG4CQ1DWLU6801?srnd=cojp-v2,債券相場は下落が予想されている。７月の米雇用統計が好調だったのを受け、前週末の米長期金利が大幅上昇した流れを引き継ぎ、売りが先行する見通し。国内の長期金利が約５カ月ぶり水準まで低下しており、相場に高値警戒感があるとの見方も出ている。日本銀行が10年国債を0.25％で無制限に買い入れる指し値オペを毎営業日実施していることは相場の下支えとなる。長期国債先物（９月物） 150円50銭程度〜150円70銭程度（前週末150円70銭） 新発10年物国債（367回債）利回り 0.165％〜0.175％程度（前週末0.160％）先物夜間取引で９月物は序盤はもみ合いで推移していたが、米長期金利が雇用統計を受け
10,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG94AIT0G1KW01?srnd=cojp-v2,米サンフランシスコ連銀のデーリー総裁は、インフレを抑制するという点で金融当局が役割を果たしたといえる状況からは「まだ程遠い」と指摘。次回９月の連邦公開市場委員会（ＦＯＭＣ）会合での利上げ幅について、50ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）で確定したわけではないことを示唆した。総裁は７日、ＣＢＳの番組「フェース・ザ・ネーション」で、９月会合で50ｂｐの利上げが実施される可能性について問われ、「もちろんだ。だがデータに基づく姿勢を取る必要がある」とし、「考え方をオープンにしておく必要がある。インフレ指標がさらに２つ、雇用統計もあと１回発表される」と述べた。７月の米雇用統計が力強い内容となっ
11,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG7YPST0AFB401?srnd=cojp-v2,著名投資家ウォーレン・バフェットの投資・保険会社 バークシャー・ハサウェイは４−６月（第２四半期）の株式を38億ドル（約5100億円）買い越した。６日の決算発表から分かった。Ｓ＆Ｐ500種株価指数は第２四半期に16％下落、押し目買いの好機を生かした格好だ。前年同期は株式を売り越していた。第２四半期の営業利益は92億ドル。保険と鉄道事業が寄与した。ただ、個人向け自動車保険のガイコは４億8700万ドルの引き受け損失を計上した。中古車価格上昇と自動車部品不足が原因で保険金請求が増えたという。投資ポートフォリオの530億ドルの損失のため純損益は438億ドルの赤字となったが、バークシャーは会計規則による
12,https://www.bloomberg.co.jp/news/articles/2022-08-07/RG86UIT0AFB401?srnd=cojp-v2,中国の輸出は７月に、予想を上回る伸びとなった。世界的な需要減退が重しとなるとの観測に反し、散発的な新型コロナウイルス感染発生や不動産業界の低迷に見舞われている経済に支援を提供した。税関総署が７日発表した７月の輸出はドルベースで前年同月比18％増の3329億6000万ドル（約45兆円）。エコノミスト予想中央値は14.1％増だった。６月は17.9％増。輸入は2.3％増と６月の１％増から加速したものの予想中央値の４％は下回った。これにより貿易黒字は1012億6000万ドルとなった。輸出は新型コロナ禍を通じて中国の成長にとって重要な要素だったが、世界経済の減速や先進国の高インフレなど外部の不確実性の高
13,https://www.bloomberg.co.jp/news/articles/2022-08-04/RG2F46DWRGG201?srnd=cojp-v2,米 アップルは「ｉＰａｄ（アイパッド）」の次期基本ソフト（ＯＳ）提供を約１カ月遅らせる見通しだ。事情に詳しい複数の関係者が明らかにした。「ｉＰｈｏｎｅ（アイフォーン）」の次期ＯＳと同時にリリースしないという異例の措置を取る。ここ数年、アップルはアイパッド向け「ｉＰａｄＯＳ」とアイフォーン向け「ｉＯＳ」の最新版を９月に同時にリリース。「ｉＯＳ16」はいつもの時期に提供する計画だが、「ｉＰａｄＯＳ16」は10月までリリースしないと、関係者が協議の非公開を理由に匿名で語った。ｉＰａｄＯＳ16の提供が遅れる要因の一つとしては、アイパッドのマルチタスク機能を全面的に見直す大掛かりな取り組みがある。今回の
14,https://www.bloomberg.co.jp/news/articles/2022-08-01/RF54ZUDWLU6801?srnd=cojp-v2,日本酒「獺祭」売上高が過去最高、輸出と現地生産で世界に挑む「山口の山奥の小さな酒蔵」旭酒造。「獺祭（だっさい）」のブランドで知られる創業74年の日本酒メーカーだ。同社の売上高は今期、過去最高となる150億円を超える見通しとなった。うち半分程度は海外が占め、将来的にその割合は９割まで上昇する見込みという。国内マーケットが縮小する中、輸出と現地生産を両輪とする海外戦略で成長を加速させる。４代目蔵元の桜井一宏社長（45歳）に話を聞いた。旭酒造の海外増収をけん引するのは、中国を中心とするアジア市場だ。2021年９月期の輸出売上高70億円のうち、約50億円はアジア地域だった。その他にも、フレンチシェフの
15,https://www.bloomberg.co.jp/news/articles/2022-08-01/RDWT8JT0AFB401?srnd=cojp-v2,岸田文雄首相がスタートアップの成長を促し「新しい資本主義」の担い手となることを目指して打ち出した支援策を巡り、国内の著名起業家からは長期的な支援となるかが課題との声が上がっている。柴田陽氏 Source: Bloomberg連続起業家としても知られ、業務系システム開発のソフトウエアを提供するテイラー創業者の柴田陽氏は７月のインタビューで、政府が提供するスタートアップ向けの支援策は過去の事例から判断すると「長続きしない印象」だと話した。柴田氏は過去に日本交通のタクシー配車アプリなどを手掛けたことでも知られている。テイラーは６月、米ベンチャーキャピタル Ｙコンビネーターのスタートアップ養成プログラ
16,https://www.bloomberg.co.jp/news/videos/2022-08-05/RG53NPDWX2PS01,現代の「ストレンジャー・シングス」「ストレンジャー・シングス 未知の世界」は ネットフリックスの大ヒット作となり、同社に利益をもたらした。そのタイトルは図らずも、私たちが直面する最近の諸問題をうまく表現している。ブルームバーグのデービッド・ウェスティンが動画でリポートする。 (Source: Bloomberg)
17,https://www.bloomberg.co.jp/news/videos/2022-08-05/RG53C3DWX2PT01,戦時下で経済再建に立ち向かうウクライナウクライナ軍は、はるかに強力な敵を阻止することに目を見張る成功を収めてきた。しかし、ゼレンスキー大統領が望む条件で戦争を終結させるためには、国内の農場、産業、企業を砲火の下で再建する必要がある。動画リポート。 (Source: Bloomberg)
18,https://www.bloomberg.co.jp/news/videos/2022-08-05/RG538RDWRGG001,米経済はリセッションに向かっているのか米経済のリセッション（景気後退）入りの懸念が市場や投資家の圧迫材料になっているが、景気は力強い状態にあるという見方もある。ブルームバーグTVのデービッド・ウェスティンが動画でリポートする。 (Source: Bloomberg)
19,https://www.bloomberg.co.jp/news/videos/2022-08-04/RG3AJUDWLU6A01,アップル「ｉＰａｄ」の進化は不十分アップルの「ｉＰａｄ（アイパッド）」に採用された最新のマルチタスク機能であるステージマネジャーについて、ブルームバーグのマーク・ガーマン記者が解説、今回の変更は「プロ」ユーザーには不十分だと指摘する。動画リポート。 (Source: Bloomberg)
20,https://www.bloomberg.co.jp/news/videos/2022-08-04/RG3AJ2T1UM0W01,中国不動産危機で何が起きているか「市民の不満がこれほどまで広範に表面化したのは初めてです」。中国で住宅開発プロジェクトが未完成のまま停滞していることに対して、住宅購入者がローンの支払いをボイコットする動きが広がっている。その影響について、ブルームバーグのレベッカ・チューン・ウィルキンス記者が動画で解説する。 (Source: Bloomberg)
21,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG1JIJDWX2PT01,アイドリングと闘うニューヨーク市の活動家街の大気の質を改善するという使命に取り組んでいるニューヨーカーがいる。路肩でアイドリングをしている車を市当局に通報することで少なくない報奨を得ているという。動画リポート。 (Source: Bloomberg)
22,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG1JEIDWRGG001,王族のような暮らしを体験1535年にイングランド王のヘンリー８世と２番目の王妃アン・ブーリンが滞在した部屋で眠ることができるという。ソーンベリー城はゲストにチューダー朝の歴史と現代のぜいたくを提供し、さらにタカ狩りにも挑戦できるという。動画リポート。 (Source: Bloomberg)
23,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG1J90DWX2PU01,ヒラリー氏とフィッシュアンドチップスを楽しんだ日：ＩＲＣ委員長国際救済委員会（ＩＲＣ）のデービッド・ミリバンド委員長が、元米国務長官のヒラリー・クリントン氏を、自身の元選挙区である英サウスシールズにあるフィッシュアンドチップスの店に招いたエピソードを振り返る。ヒラリー氏は、ビネガーやタルタルソース、そしてグリーンピースのピューレ「マッシーピー」をつけてフィッシュアンドチップスを楽しんだという。聞き手はエマ・バーネット氏。インタビューは６月21日に収録した。動画リポート。 (Source: Bloomberg)
24,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG0MSADWX2PS01,レゴ創業家の富豪、魚の皮を使った傷治療の企業に投資アイスランドのベンチャー企業ケレシスは、慢性的な傷の治癒を早めるため魚の皮の脂肪酸を利用する治療法に取り組み、2016年に米食品医薬品局（ＦＤＡ）から承認を得ている。 (Source: Bloomberg)
25,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG0LY0T0AFB701,グテレス国連事務総長、「核兵器による滅亡」を警告「今日、人類はたった一つの誤解、一つの誤算で、核兵器による滅亡を迎えます」。国連のグテレス事務総長は、ニューヨークの国連本部で開かれた核拡散防止条約（NPT）再検討会議の演説でこう警告した。 (Source: Bloomberg)
26,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZN7JT1UM0Y01,アートを通じて橋を架ける「人々の間に橋を架けることができます。これこそアートのあるべき姿です」。フランスから香港まで、また伝統的世界からメタバースまで、人々を結び付ける橋渡しをしたいと願うアートギャラリーが香港にある。動画リポート。 (Source: Bloomberg)
27,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZL2ZDWLU6901,有名人の二重生活には驚かない：アルレッド弁護士かねて女性の権利を訴えている弁護士のグロリア・アルレッド氏は、ハリウッドの有名男性と訴訟で対決することがしばしばあるが、名声や権力を持つ人たちに幻想を抱いていないので、彼らの悪事に失望するようなことはないと語った。聞き手はエマ・バーネット氏。インタビューは７月６日に収録した。動画リポート。 (Source: Bloomberg)
28,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZKXKDWRGG001,死刑は二度と描かない：法廷画家ジェーン・ローゼンバーグ氏法廷画家のジェーン・ローゼンバーグ氏は、かつて電気椅子による死刑が執行された男性の様子を描いた後、自らに責任の一端があると感じたと語る。同氏は、この経験の影響で死刑を取材するのはやめようと決めたという。国が認める殺人に関与したくないのがその理由だ。聞き手はエマ・バーネット氏。インタビューは４月13日に収録した。動画リポート。 (Source: Bloomberg)
29,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZ0MVDWX2PS01,米国で現地生産へ、高級日本酒「獺祭」の製造工程高級日本酒のパイオニアである「獺祭（だっさい）」は、コストをかけた技術によるクリーンで華やかな味わいでファンに知られている。醸造元である旭酒造は日本と同じ醸造法の酒蔵をニューヨーク州に建設し生産を始める計画だ。ブルームバーグの森来実が山口県の同社で製造工程を取材した。動画リポート。 (Source: Bloomberg)
30,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFYXL1T1UM0Y01,北朝鮮、暗号資産を狙い履歴書偽造の疑い北朝鮮の資金調達手段の一環として、同国のハッカーが米国の暗号資産（仮想通貨）企業への就職のための履歴書を偽造した疑いが持たれている。 (Source: Bloomberg)
31,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXSE7T1UM0W01,「ワイルドライフ・ドローンズ」を創業した女性科学者「最初は裏庭の物置で弓のこやドリルを使ってアンテナを作りました」。ワイルドライフ・ドローンズは受賞歴のあるスタートアップ企業で、絶滅危惧種の追跡や外来種の制御を支援している。創業者のデビー・サンダース博士に話を聞いた。動画リポート。 (Source: Bloomberg)
32,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXS7ST0AFB401,「ＮＥＯＭ」は未来都市か空想か５年前から開発が進められている「ＮＥＯＭ（ネオム）」は、サウジアラビアのムハンマド・ビン・サルマン皇太子発案のＳＦから着想を得た巨大プロジェクトだ。しかし6200億ドルの政府系ファンドを使える支配者にとってさえ厄介な課題を抱えている。動画リポート。 (Source: Bloomberg)
34,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXS2XDWRGG201,インフレによる企業の損得ヘルマンのマヨネーズからベン＆ジェリーのアイスクリーム、ネスレのチョコレートまで、あらゆる商品がコスト上昇の圧迫を受けている。生活必需品に対するインフレの影響について、ブルームバーグのアレックス・ウェブ記者が動画で解説する。 (Source: Bloomberg)
35,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFX273DWRGG001,ウィル・スミス氏、あの時の振る舞いは正しくなかった「あの時の振る舞いが正しかったと私はまったく思っていません」。俳優ウィル・スミスさんは、米アカデミー賞授賞式で平手打ちをした行為についてコメディアンのクリス・ロックさんに謝罪した。 (Source: Bloomberg)
36,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSI3YDWLU6801,スポーツ界の男女報酬格差女子スポーツは人気が高まる一方だが、多くの競技で報酬の不平等の問題は依然として解決できていない。格差是正の方法をブルームバーグのバネッサ・ペルドモ記者が探る。動画リポート。 (Source: Bloomberg)
37,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSI03T0G1KX01,「ロー対ウェイド」を覆す判決が女性の命を脅かす：アルレッド氏長年にわたり女性の権利を訴えてきた弁護士のグロリア・アルレッド氏が、「ロー対ウェイド判決」の前に自身が経験した悲惨な中絶手術について語った。そこから学んだのが、望まない妊娠の果てに命を危険にさらされる人がいてはならないということだった。聞き手はエマ・バーネット氏。インタビューは７月６日に収録した。動画リポート。 (Source: Bloomberg)
38,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSHYXDWRGG401,「金」で給与を受け取る選択給与を「金」（ゴールド）で受け取るのは適切とは思わない人もいれば、素晴らしい魅力があると感じる人もいるかもしれない。金を選択肢に取り入れた英タリーマネーのキャメロン・ペリー最高経営責任者（ＣＥＯ）にブルームバーグのリーアン・ゲラン記者がインタビューした。 (Source: Bloomberg)
39,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSHYSDWLU6801,シンガポールで高騰する車の価格シンガポールでは政府が渋滞と大気汚染を緩和するために車の販売を制限しており、車の価格が高騰している。この政策が市民に与える影響についてヌリン・ソフィア記者が動画でリポートする。 (Source: Bloomberg)
40,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSHYPT0AFB801,オフィス復帰の動きと家主の不安米国では従業員のオフィス復帰で強まる物件選別が、家主の不安材料になっている。デービッド・ルーベンスタイン氏による動画リポート。 (Source: Bloomberg)
